treatment_id,treatment_name,treatment_type,department_id,cpt_code,icd10_procedure,specialty_required,duration_minutes,cost_base,cost_insurance,anesthesia_required,inpatient_outpatient,recovery_time_hours,complications_risk,success_rate_percent,equipment_required,staff_count_required,pre_procedure_prep_hours,post_procedure_monitoring_hours,treatment_description
TREAT-001,Appendectomy,Surgical,DEPT-005,44970,0DT70ZZ,General Surgery,90,8500.00,2400.00,General,Inpatient,24,Medium,98.5,Laparoscopic tower|Surgical instruments,4,2,6,Surgical removal of appendix using minimally invasive laparoscopic technique
TREAT-002,Coronary Angioplasty,Interventional,DEPT-003,92920,027034Z,Interventional Cardiology,120,15200.00,4800.00,Local with sedation,Inpatient,48,Medium,94.2,Cardiac catheterization lab|Balloon catheter,3,4,12,Percutaneous coronary intervention to open blocked arteries
TREAT-003,Hip Replacement,Surgical,DEPT-006,27130,0SR9019,Orthopedic Surgery,180,22000.00,8500.00,General,Inpatient,72,High,96.8,Orthopedic implants|Surgical instruments,5,3,24,Total hip arthroplasty with prosthetic joint replacement
TREAT-004,Chemotherapy Infusion,Medical,DEPT-008,96413,3E0330X,Medical Oncology,240,3200.00,1200.00,None,Outpatient,4,Medium,Variable,IV infusion pumps|Chemo preparation hood,2,1,2,Cytotoxic cancer treatment administered intravenously
TREAT-005,Dialysis Treatment,Medical,DEPT-012,90935,5A1D00Z,Nephrology,240,450.00,180.00,None,Outpatient,1,Low,99.1,Dialysis machine|Water treatment system,2,0.5,0.5,Hemodialysis for end-stage renal disease management
TREAT-006,Magnetic Resonance Imaging,Diagnostic,DEPT-009,70553,B030YZZ,Radiology,45,1200.00,600.00,None,Outpatient,0,Low,99.8,MRI scanner|Contrast injector,2,0.5,0.5,High-resolution magnetic resonance brain imaging with contrast
TREAT-007,Physical Therapy,Rehabilitative,DEPT-015,97110,F07M0ZZ,Physical Medicine,60,120.00,80.00,None,Outpatient,0,Low,88.5,Exercise equipment|Therapeutic modalities,1,0,0,Therapeutic exercise and manual therapy for mobility restoration
TREAT-008,Endotracheal Intubation,Critical Care,DEPT-002,31500,0BH17EZ,Critical Care Medicine,15,850.00,350.00,General,Inpatient,Variable,Medium,97.2,Laryngoscope|Endotracheal tubes|Ventilator,3,0,Continuous,Emergency airway management for respiratory failure
TREAT-009,Blood Transfusion,Medical,DEPT-007,36430,30233N1,Hematology,120,1200.00,400.00,None,Both,2,Medium,99.5,Blood warmer|Infusion pumps,2,1,4,Packed red blood cell transfusion for severe anemia
TREAT-010,Cardiac Catheterization,Diagnostic,DEPT-003,93458,B2101ZZ,Interventional Cardiology,90,4500.00,1800.00,Local with sedation,Inpatient,6,Medium,99.2,Cardiac catheterization lab|Contrast media,3,2,8,Diagnostic coronary angiography to assess cardiac function
TREAT-011,Emergency Cesarean Section,Surgical,DEPT-004,59514,10D00Z1,Obstetrics & Gynecology,60,12000.00,4200.00,Spinal/General,Inpatient,48,Medium,99.1,Operating room suite|Fetal monitors,6,1,24,Emergency surgical delivery of baby via abdominal incision
TREAT-012,Bronchoscopy,Diagnostic,DEPT-019,31622,0BJ08ZZ,Pulmonology,30,1800.00,750.00,Conscious sedation,Outpatient,2,Low,98.7,Flexible bronchoscope|Biopsy forceps,2,1,3,Diagnostic examination of airways and lung tissue sampling
TREAT-013,Radiation Therapy,Medical,DEPT-008,77385,D91210Z,Radiation Oncology,30,2200.00,850.00,None,Outpatient,0,Medium,Variable,Linear accelerator|Treatment planning system,3,2,1,Targeted radiation treatment for cancer therapy
TREAT-014,Emergency Department Stabilization,Emergency,DEPT-001,99285,Multiple,Emergency Medicine,180,2500.00,800.00,None,Emergency,Variable,Medium,94.8,Resuscitation equipment|Monitors,4,0,Variable,Comprehensive emergency medical stabilization and treatment
TREAT-015,Arthroscopic Knee Surgery,Surgical,DEPT-006,29881,0SJD0ZZ,Orthopedic Surgery,75,6800.00,2200.00,General,Outpatient,6,Low,96.4,Arthroscope|Surgical instruments,3,2,4,Minimally invasive knee joint surgery using arthroscopic technique
TREAT-016,Psychiatric Evaluation,Mental Health,DEPT-020,90791,GZ1ZZZZ,Psychiatry,90,350.00,200.00,None,Outpatient,0,Low,N/A,None,1,0,0,Comprehensive psychiatric assessment and treatment planning
TREAT-017,Mechanical Ventilation,Critical Care,DEPT-002,94002,5A1935Z,Critical Care Medicine,Continuous,1200.00,480.00,Sedation,Inpatient,Variable,High,Variable,Ventilator|Monitoring equipment,2,0,Continuous,Life support breathing assistance for respiratory failure
TREAT-018,Wound Debridement,Surgical,DEPT-001,11042,0JD80ZZ,General Surgery,45,680.00,280.00,Local,Both,2,Low,97.8,Surgical instruments|Irrigation system,2,0.5,2,Surgical removal of dead tissue from chronic wounds
TREAT-019,Electrocardiogram,Diagnostic,DEPT-003,93000,4A02X4Z,Cardiology,15,150.00,65.00,None,Both,0,None,99.9,ECG machine|Electrodes,1,0,0,12-lead electrocardiographic recording for cardiac assessment
TREAT-020,Lumbar Puncture,Diagnostic,DEPT-011,62270,009U3ZX,Neurology,30,850.00,420.00,Local,Both,4,Medium,98.2,Spinal needle|Pressure gauge,2,1,6,Cerebrospinal fluid sampling for neurological diagnosis
TREAT-021,Gastric Lavage,Emergency,DEPT-001,91105,0DJ68ZZ,Emergency Medicine,45,480.00,200.00,None,Emergency,2,Medium,96.5,Lavage tube|Suction equipment,2,0,4,Emergency stomach washing for toxic ingestion management
TREAT-022,Pacemaker Implantation,Surgical,DEPT-003,33208,02H60JZ,Cardiac Electrophysiology,120,18500.00,6200.00,Local with sedation,Inpatient,24,Medium,98.9,Pacemaker device|Fluoroscopy,3,4,12,Permanent cardiac pacemaker insertion for rhythm disorders
TREAT-023,Occupational Therapy,Rehabilitative,DEPT-015,97530,F08M0ZZ,Occupational Therapy,60,110.00,75.00,None,Outpatient,0,Low,85.2,ADL training equipment|Adaptive devices,1,0,0,Activities of daily living training and adaptive equipment instruction
TREAT-024,Endoscopic Surgery,Surgical,DEPT-005,43235,0DJ08ZZ,Gastroenterology,90,4200.00,1650.00,Conscious sedation,Outpatient,4,Medium,97.1,Endoscope|Electrocautery unit,3,2,6,Minimally invasive gastrointestinal surgical intervention
TREAT-025,Intensive Care Monitoring,Critical Care,DEPT-002,99291,None,Critical Care Medicine,Continuous,2400.00,950.00,Variable,Inpatient,Variable,High,Variable,ICU monitors|Ventilators|Infusion pumps,4,0,Continuous,Comprehensive critical care monitoring and life support
TREAT-026,Speech Therapy,Rehabilitative,DEPT-015,92507,F06Z0ZZ,Speech-Language Pathology,45,95.00,65.00,None,Outpatient,0,Low,82.4,Communication devices|Swallow study equipment,1,0,0,Communication and swallowing disorder rehabilitation therapy
TREAT-027,Emergency Surgery,Surgical,DEPT-005,Multiple,Multiple,General Surgery,Variable,Variable,Variable,General,Inpatient,Variable,High,Variable,Operating room|Emergency instruments,Variable,0,Variable,Life-saving emergency surgical intervention for trauma or acute conditions
TREAT-028,Insulin Administration,Medical,DEPT-002,96365,3E0330Z,Endocrinology,15,85.00,35.00,None,Both,1,Low,99.8,Insulin pumps|Blood glucose monitors,1,0,2,Subcutaneous insulin injection for diabetes management
TREAT-029,Respiratory Therapy,Medical,DEPT-019,94640,5A09357,Respiratory Therapy,60,180.00,95.00,None,Both,0,Low,94.6,Nebulizers|Oxygen delivery systems,1,0,1,Breathing treatments and airway clearance therapy
TREAT-030,Emergency Cardioversion,Emergency,DEPT-001,92960,5A2204Z,Emergency Medicine,30,1200.00,480.00,Sedation,Emergency,4,Medium,92.8,Defibrillator|Cardiac monitors,3,0,6,Emergency electrical conversion of abnormal heart rhythm
